Rank 40127: 2005 - [11195, 6542, 562] - HP: 83315, STR: 144575, VIT: 169499, SPD: 56, LUK: 1, Attack: 234484, Defense: 259277, Current HP: 83315, A Avg: 295449, D Avg: 259277, [Spectral Sword Shigure[172, 530, 530, 630], Blank Shield[244, 630, 630, 730], Obsidian Ring[320, 730, 730, 67]]
Rank 40127: 7843 - [11555, 5462, 1282] - HP: 1943, STR: 171430, VIT: 69710, SPD: 56, LUK: 1, Attack: 263616, Defense: 159488, Current HP: 1943, A Avg: 362472, D Avg: 159488, [Big Bang[171, 630, 630, 630], Blank Shield[244, 630, 630, 730], Gold Ring[303, 730, 68, 803]]
Rank 40135: 13182 - [11566, 5437, 1296] - HP: 4598, STR: 218788, VIT: 35446, SPD: 56, LUK: 2, Attack: 306670, Defense: 123274, Current HP: 4598, A Avg: 395604, D Avg: 147928, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 630, 730], Tears of the Dragon[307, 67, 803, 806]]
Rank 40136: 6653 - [11897, 4445, 1957] - HP: 64061, STR: 171430, VIT: 35438, SPD: 56, LUK: 1, Attack: 263616, Defense: 125216, Current HP: 64061, A Avg: 329520, D Avg: 150259, [Big Bang[171, 530, 630, 630], Blank Shield[244, 630, 630, 630], Gold Ring[303, 730, 68, 806]]
Rank 40144: 11652 - [11914, 4402, 1983] - HP: 45296, STR: 218788, VIT: 1174, SPD: 56, LUK: 2, Attack: 306670, Defense: 89002, Current HP: 45296, A Avg: 460005, D Avg: 89002, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Tears of the Dragon[307, 66, 67, 68]]
Rank 40145: 1571 - [11443, 5816, 1040] - HP: 126502, STR: 276645, VIT: 70220, SPD: 56, LUK: 1, Attack: 362458, Defense: 159998, Current HP: 126502, A Avg: 380580, D Avg: 159998, [Spear of Regression[182, 530, 530, 530], Blank Shield[244, 630, 630, 630], Mobius Ring[316, 730, 730, 66]]
Rank 40145: 1621 - [11443, 5816, 1040] - HP: 126502, STR: 276645, VIT: 70220, SPD: 56, LUK: 1, Attack: 362458, Defense: 159998, Current HP: 126502, A Avg: 380580, D Avg: 159998, [Spear of Regression[182, 530, 530, 530], Blank Shield[244, 630, 630, 630], Mobius Ring[316, 730, 730, 807]]
Rank 40151: 8341 - [11411, 5918, 970] - HP: 4408, STR: 186681, VIT: 173036, SPD: 56, LUK: 1, Attack: 272494, Defense: 262814, Current HP: 4408, A Avg: 286118, D Avg: 367939, [Spear of Regression[182, 630, 630, 730], Blank Shield[244, 730, 730, 730], Mobius Ring[316, 730, 806, 807]]
Rank 40155: 248 - [11179, 6618, 502] - HP: 140216, STR: 126528, VIT: 182123, SPD: 63, LUK: 1, Attack: 214410, Defense: 269951, Current HP: 140216, A Avg: 225130, D Avg: 269951, [Wild Card[175, 530, 530, 530], Black Sword Breath[252, 630, 630, 630], Endpoint[318, 730, 730, 730]]
Rank 40159: 11812 - [11918, 4405, 1976] - HP: 45296, STR: 218788, VIT: 1174, SPD: 56, LUK: 2, Attack: 306670, Defense: 89002, Current HP: 45296, A Avg: 421671, D Avg: 106802, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Tears of the Dragon[307, 68, 803, 806]]
Rank 40164: 1601 - [11452, 5808, 1039] - HP: 126502, STR: 276645, VIT: 70220, SPD: 56, LUK: 1, Attack: 362458, Defense: 159998, Current HP: 126502, A Avg: 389642, D Avg: 159998, [Spear of Regression[182, 530, 530, 530], Blank Shield[244, 630, 630, 630], Mobius Ring[316, 730, 730, 803]]
Rank 40168: 8039 - [11387, 6007, 905] - HP: 1292, STR: 162894, VIT: 103990, SPD: 56, LUK: 2, Attack: 255080, Defense: 193768, Current HP: 1292, A Avg: 280588, D Avg: 193768, [Big Bang[171, 630, 630, 630], Blank Shield[244, 630, 730, 730], Tears of the Dragon[307, 730, 803, 807]]
Rank 40169: 6779 - [11613, 5330, 1356] - HP: 41990, STR: 162894, VIT: 69718, SPD: 56, LUK: 2, Attack: 255080, Defense: 159496, Current HP: 41990, A Avg: 321400, D Avg: 191395, [Big Bang[171, 530, 630, 630], Blank Shield[244, 630, 630, 730], Tears of the Dragon[307, 730, 67, 806]]
Rank 40174: 12002 - [11902, 4468, 1929] - HP: 45296, STR: 175948, VIT: 35446, SPD: 56, LUK: 2, Attack: 263830, Defense: 123274, Current HP: 45296, A Avg: 387830, D Avg: 172583, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Tears of the Dragon[307, 67, 806, 807]]
